Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25670869,Why Greatness Cannot Be Planned: The Myth of the Objective,Kenneth O. Stanley,"Stanley, Kenneth O.",Joel Lehman,"=""3319155245""","=""9783319155241""",0,3.98,Springer,Kindle Edition,154,2015,2015,,2026/03/20,to-read,to-read (#479),to-read,,,,0,0
35900387,Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Honeyman, Gail",,"=""0008172145""","=""9780008172145""",3,4.23,HarperCollins GB,Paperback,390,2018,2017,2026/03/10,2026/03/02,,,read,"I haven't done these in awhile, so I'm a bit rusty on verbal flourish. <br/><br/>Bookish snobbery, I felt, had constrained my reading diversity to a limited range, directing me to more of the same sort of books as I'd read in the past. I found that I was not reading the books that I had researched and bought, choosing to keep them in their pristine condition. I wanted to experience the joy of spontaneity and the experience of working within constraints. So, last September, I decided to only buy used books from charity shops. The added benefit was the fact that everything was quite cheap and the books were already in a ""well loved"" condition. This in turn ensured that I wouldn't keep these framed on my bookshelf, and would actually read them, in whatever manner I felt comfortable. <br/><br/>This is the sort of book that I would normally avoid. 'Costa First Novel Award' is not a seal of approval that I seek out in a book store. But, in the face of the limited selection, I found this to be a better choice than 'Chicken Soup For The Soul' and 'The Monk Who Sold His Ferrari'. <br/><br/>For me, the book at its core, was a tale of personal battle around assumed guilt and depression. The treatment of this topic interleaved amongst descriptions of normal days and normal encounters, with a little bit of dry British wit thrown in for good measure, made it an engaging read. <br/><br/>It's not the sort of story that will leave a lasting impression on me, but it is one that I enjoyed reading and did not regret finishing.",,,1,0
5211,A Fine Balance,Rohinton Mistry,"Mistry, Rohinton",,"=""140003065X""","=""9781400030651""",0,4.38,Vintage,Paperback,603,1997,1995,,2021/07/02,did-not-finish,did-not-finish (#1),did-not-finish,,,,0,0
51506,Wittgenstein’s Mistress,David Markson,"Markson, David",David Foster Wallace,"=""1564782115""","=""9781564782113""",0,3.92,Dalkey Archive Press,Paperback,279,2012,1988,,2015/01/02,did-not-finish,did-not-finish (#3),did-not-finish,,,,0,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",0,4.00,Penguin Press,Hardcover,246,2019,2019,,2021/07/02,did-not-finish,did-not-finish (#2),did-not-finish,,,,0,0
164154,"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,"Jr., Walter M. Miller",Mary Doria Russell,"=""0060892994""","=""9780060892999""",0,3.99,Eos,Paperback,334,2006,1959,,2014/10/21,did-not-finish,did-not-finish (#5),did-not-finish,,,,0,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",0,4.28,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,,2014/10/21,did-not-finish,did-not-finish (#4),did-not-finish,,,,0,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,4.36,Ecco,Hardcover,360,2022,2022,,2026/03/02,to-read,to-read (#478),to-read,,,,0,0
44318414,The Dutch House,Ann Patchett,"Patchett, Ann",,"=""0062963678""","=""9780062963673""",5,4.10,Harper,Hardcover,337,2019,2019,,2020/07/29,,,read,The best book I've read this year.,,,1,0
218319936,The Nvidia Way: Jensen Huang and the Making of a Tech Giant,Tae   Kim,"Kim, Tae",,"=""1324086726""","=""9781324086727""",5,4.32,W. W. Norton & Company,Kindle Edition,268,2024,,,2025/04/13,,,read,,,,1,0
119512,The Melancholy of Resistance,László Krasznahorkai,"Krasznahorkai, László",George Szirtes,"=""""","=""""",0,4.08,New Directions,Paperback,314,2002,1989,,2025/10/10,to-read,to-read (#477),to-read,,,,0,0
22328,Neuromancer (Sprawl #1),William Gibson,"Gibson, William",,"=""""","=""""",0,3.89,Ace Books,Mass Market Paperback,271,1985,1984,,2014/10/21,to-read,to-read (#14),to-read,,,,0,0
60324341,Brotherless Night,V.V. Ganeshananthan,"Ganeshananthan, V.V.",,"=""0812997158""","=""9780812997156""",5,4.45,Random House,Hardcover,348,2023,2023,2025/09/26,2025/07/14,,,read,,,,1,0
220161058,Apple in China: The Capture of the World's Greatest Company,Patrick  McGee,"McGee, Patrick",,"=""1668053373""","=""9781668053379""",5,4.49,Scribner,Hardcover,448,2025,2025,,2025/06/17,,,read,,,,1,0
6621381,The Guide,R.K. Narayan,"Narayan, R.K.",,"=""1440623112""","=""9781440623110""",0,3.93,Putnam Adult,Kindle Edition,226,2006,1958,,2025/09/15,to-read,to-read (#476),to-read,,,,0,0
139400713,Martyr!,Kaveh Akbar,"Akbar, Kaveh",,"=""0593537610""","=""9780593537619""",0,4.15,Knopf,Hardcover,331,2024,2024,,2025/07/15,to-read,to-read (#475),to-read,,,,0,0
26046333,Designing Your Life: Build a Life that Works for You,Bill Burnett,"Burnett, Bill",Dave      Evans,"=""1784740241""","=""9781784740245""",0,3.90,Chatto & Windus,Paperback,240,2013,2016,,2025/07/03,to-read,to-read (#474),to-read,,,,0,0
424570,Dragon in a Three-Piece Suit: The Emergence of Capitalism in China,Doug Guthrie,"Guthrie, Doug",,"=""0691095191""","=""9780691095196""",0,3.33,Princeton University Press,Paperback,320,2002,1999,,2025/06/30,to-read,to-read (#473),to-read,,,,0,0
823,"Quicksilver (The Baroque Cycle, #1)",Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,3.94,HarperCollins Perennial,Paperback,927,2004,2003,,2025/06/24,to-read,to-read (#472),to-read,,,,0,0
119073,The Name of the Rose,Umberto Eco,"Eco, Umberto",William Weaver,"=""0156001314""","=""9780156001311""",0,4.14,Houghton Mifflin Harcourt,Paperback,552,1994,1980,,2025/06/24,to-read,to-read (#471),to-read,,,,0,0
35607655,Risk & Reward: An Inside View of the Property/Casualty Insurance Business,Stephen Catlin,"Catlin, Stephen",James Burcke,"=""""","=""""",0,4.33,,Kindle Edition,355,2017,,,2025/06/20,to-read,to-read (#470),to-read,,,,0,0
18286654,The Most Fun I Never Want To Have Again: A Mid-Life Crisis in Community Banking,R.D. Koncerak,"Koncerak, R.D.",,"=""1481867954""","=""9781481867955""",0,3.69,CreateSpace Independent Publishing Platform,Paperback,358,2013,2013,,2025/06/20,to-read,to-read (#469),to-read,,,,0,0
56269264,The Dawn of Everything: A New History of Humanity,David Graeber,"Graeber, David",David Wengrow,"=""0374157359""","=""9780374157357""",0,4.19,"Farrar, Straus and Giroux",Hardcover,692,2021,2021,,2025/06/20,to-read,to-read (#468),to-read,,,,0,0
53521551,The Anatomy of the Swipe: Making Money Move,Ahmed Siddiqui,"Siddiqui, Ahmed",Nicholas Straight,"=""1641374489""","=""9781641374484""",0,4.15,New Degree Press,Kindle Edition,242,2020,,,2025/06/20,to-read,to-read (#467),to-read,,,,0,0
9755,Oracle Bones: A Journey Between China's Past and Present,Peter Hessler,"Hessler, Peter",,"=""0060826584""","=""9780060826581""",0,4.22,HarperCollins,Hardcover,512,2006,2006,,2025/06/17,to-read,to-read (#466),to-read,,,,0,0
58755262,"The Easy Life in Kamusari (Forest, #1)",Shion Miura,"Miura, Shion",Juliet Winters Carpenter,"=""1542027144""","=""9781542027144""",0,3.94,Amazon Crossing,Kindle Edition,205,2021,2009,,2025/06/13,to-read,to-read (#465),to-read,,,,0,0
21400742,Outline,Rachel Cusk,"Cusk, Rachel",,"=""0571233627""","=""9780571233625""",0,3.67,Faber & Faber,Hardcover,249,2014,2014,,2025/06/11,to-read,to-read (#464),to-read,,,,0,0
8127,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,"Montgomery, L.M.",Jennifer Lee Carrell,"=""0451528824""","=""9780451528827""",0,4.33,Signet,Mass Market Paperback,320,2003,1908,,2025/06/10,to-read,to-read (#463),to-read,,,,0,0
199605519,How to Age Disgracefully,Clare Pooley,"Pooley, Clare",,"=""0593831497""","=""9780593831496""",0,4.12,Pamela Dorman Books,Hardcover,337,2024,2024,,2025/06/10,to-read,to-read (#462),to-read,,,,0,0
38213061,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",0,4.31,Orbit,Kindle Edition,577,2011,2011,,2022/05/31,to-read,to-read (#342),to-read,,,,0,0
590652,The Slight Edge,Jeff Olson,"Olson, Jeff",,"=""0967285550""","=""9780967285559""",0,4.28,Momentum Media,Paperback,168,2005,2005,,2025/06/03,to-read,to-read (#461),to-read,,,,0,0
218559595,Great Big Beautiful Life,Emily Henry,"Henry, Emily",,"=""""","=""""",0,3.96,Berkley,Hardcover,432,2025,2025,,2025/06/03,to-read,to-read (#460),to-read,,,,0,0
195391751,The Anthropologists,Aysegül Savas,"Savas, Aysegül",,"=""163973306X""","=""9781639733064""",0,3.82,Bloomsbury Publishing,Hardcover,183,2024,2024,,2025/06/03,to-read,to-read (#459),to-read,,,,0,0
54814676,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,"=""0525657746""","=""9780525657743""",0,4.23,Knopf,Hardcover,256,2021,2021,,2025/06/03,to-read,to-read (#458),to-read,,,,0,0
36902522,Chinatown Days,Rita Chowdhury,"Chowdhury, Rita",,"=""9386215233""","=""9789386215239""",0,4.14,Pan Macmillan India,Hardcover,408,2017,2010,,2025/06/03,to-read,to-read (#457),to-read,,,,0,0
217311813,Woodworking,Emily St. James,"James, Emily St.",,"=""163893147X""","=""9781638931478""",0,4.27,Crooked Media Reads,Hardcover,351,2025,2025,,2025/06/03,to-read,to-read (#456),to-read,,,,0,0
37506439,The Sorrow of War: A Novel of North Vietnam,Bảo Ninh,"Ninh, Bảo",,"=""0525562842""","=""9780525562849""",0,4.08,Vintage,Paperback,240,2018,1991,,2025/06/03,to-read,to-read (#455),to-read,,,,0,0
1945359,Silence,Shusako Endo,"Endo, Shusako",,"=""0704331896""","=""9780704331891""",0,4.10,Quartet Books Limited,Paperback,306,1984,1966,,2025/05/27,to-read,to-read (#454),to-read,,,,0,0
40727626,Free Food for Millionaires,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",0,3.85,Grand Central Publishing,Kindle Edition,577,2007,2007,,2025/05/22,to-read,to-read (#453),to-read,,,,0,0
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",5,4.34,Grand Central Publishing,Kindle Edition,496,2017,2017,,2025/01/08,,,read,"5/5 - The best book I've read this year. <br/><br/><br/>The story taught me a great deal about the fractured history of Korea - life under Japanese rule, the division into North and South after the second world war and so much more. The history of the land is seamlessly interwoven with the history of its people.<br/><br/><br/>The writing style is fluid and unique, with subtle writing choices that made it easy to digest and follow along the plot and the characters across this 900 something page behemoth of a book. <br/><br/><br/>It is a multigenerational story with a dizzying array of characters who pop in and out across the timeline. There is a conscious choice made by the author to repeat the character names whenever they're in focus. This is immensely helpful for someone like me who tends to quickly glaze over and forget the names of characters after their first appearance. <br/><br/><br/>The writing seamlessly changes from the thoughts and dialogues of one character to the other. There is no explicit handoff or change of batons when it comes to narration, but it intuitively flows along with no hiccups or confusion. <br/><br/><br/>Most of the characters were richly detailed, with complex internal motivations and conflicts. A few character arcs are left unfinished, but it's forgivable given the scope of the story. <br/><br/><br/>At the core of the book, I found a deeply complex story that dealt with the question of identity and self worth, of what it means to belong, and more importantly what it means to be an outsider in your own land. <br/><br/><br/>At the end, I wished there were 900 pages more. ",,,1,0
8143909,Foster,Claire Keegan,"Keegan, Claire",,"=""0571255655""","=""9780571255658""",0,4.30,Faber & Faber,Paperback,101,2010,2010,,2025/05/22,to-read,to-read (#452),to-read,,,,0,0
11337,The Bluest Eye,Toni Morrison,"Morrison, Toni",,"=""""","=""""",0,4.13,Plume,Paperback,216,2005,1970,,2025/05/22,to-read,to-read (#451),to-read,,,,0,0
16286,The Magus,John Fowles,"Fowles, John",,"=""0316296198""","=""9780316296199""",0,4.05,"Little, Brown Paperbacks",Paperback,656,2001,1965,,2025/05/12,to-read,to-read (#450),to-read,,,,0,0
151848,Probability Theory: The Logic of Science,E.T. Jaynes,"Jaynes, E.T.",G. Larry Bretthorst,"=""0521592712""","=""9780521592710""",0,4.41,Cambridge University Press,Hardcover,753,2003,,,2025/05/10,to-read,to-read (#449),to-read,,,,0,0
24537795,Financial Modeling (The MIT Press),Simon Z. Benninga,"Benninga, Simon Z.",,"=""026232170X""","=""9780262321709""",0,4.02,The MIT Press,Kindle Edition,1144,2014,2000,,2025/05/10,to-read,to-read (#448),to-read,,,,0,0
17628199,"Designing Organizations: Strategy, Structure, and Process at the Business Unit and Enterprise Levels",Jay R. Galbraith,"Galbraith, Jay R.",,"=""1118409957""","=""9781118409954""",0,3.93,Jossey-Bass,Hardcover,352,2014,1995,,2025/05/10,to-read,to-read (#447),to-read,,,,0,0
407999,Competitive Strategy: Techniques for Analyzing Industries and Competitors,Michael E. Porter,"Porter, Michael E.",,"=""0684841487""","=""9780684841489""",0,4.17,Free Press,Hardcover,397,1998,1980,,2025/05/10,to-read,to-read (#446),to-read,,,,0,0
38526265,Flatline Constructs: Gothic Materialism and Cybernetic Theory-Fiction,Mark Fisher,"Fisher, Mark",Exmilitary Collective,"=""0692066055""","=""9780692066058""",0,4.13,Exmilitary,Paperback,212,2018,,,2025/05/08,to-read,to-read (#445),to-read,,,,0,0
